start_hour,year,month,count
0,2014,12,4038
1,2014,12,2318
2,2014,12,1383
3,2014,12,924
4,2014,12,961
5,2014,12,2616
6,2014,12,10176
6,2015,1,1
7,2014,12,19888
8,2014,12,34484
9,2014,12,28715
10,2014,12,19323
11,2014,12,19378
12,2014,12,21971
13,2014,12,22889
14,2014,12,24436
15,2014,12,25992
15,2015,1,1
16,2014,12,29314
16,2015,1,1
17,2014,12,35014
17,2015,1,2
18,2014,12,31876
19,2014,12,22005
20,2014,12,14937
20,2015,1,2
21,2014,12,11195
22,2014,12,8861
22,2015,1,2
23,2014,12,6347
23,2015,1,19
0,2015,1,2428
1,2015,1,1439
2,2015,1,979
3,2015,1,606
4,2015,1,664
5,2015,1,2269
6,2015,1,8126
7,2015,1,14898
8,2015,1,25109
9,2015,1,19373
10,2015,1,12519
11,2015,1,12589
12,2015,1,14598
13,2015,1,15340
14,2015,1,16134
15,2015,1,16961
16,2015,1,20573
17,2015,1,28028
18,2015,1,26426
19,2015,1,17544
20,2015,1,11258
21,2015,1,7611
21,2015,2,2
22,2015,1,6102
23,2015,1,3955
23,2015,2,21
0,2015,2,1715
1,2015,2,937
2,2015,2,509
3,2015,2,347
4,2015,2,402
5,2015,2,1379
6,2015,2,4450
7,2015,2,8958
8,2015,2,16573
9,2015,2,13885
10,2015,2,9151
11,2015,2,8724
12,2015,2,9849
13,2015,2,10675
14,2015,2,10901
15,2015,2,11598
15,2015,3,1
16,2015,2,14130
17,2015,2,20526
18,2015,2,18669
19,2015,2,12374
20,2015,2,8003
21,2015,2,5841
22,2015,2,4362
23,2015,2,2950
23,2015,3,21
0,2015,3,2586
0,2015,4,1
1,2015,3,1362
2,2015,3,788
3,2015,3,567
4,2015,3,631
5,2015,3,2182
6,2015,3,8437
7,2015,3,16567
8,2015,3,31201
8,2015,4,1
9,2015,3,25450
10,2015,3,15374
11,2015,3,15090
12,2015,3,17493
12,2015,4,1
13,2015,3,17966
13,2015,4,1
14,2015,3,18522
15,2015,3,19207
15,2015,4,1
16,2015,3,23086
16,2015,4,1
17,2015,3,35759
17,2015,4,1
18,2015,3,34630
19,2015,3,21573
19,2015,4,2
20,2015,3,13114
20,2015,4,1
21,2015,3,9169
22,2015,3,6520
23,2015,3,4519
23,2015,4,23
0,2015,4,5465
1,2015,4,2901
2,2015,4,1725
3,2015,4,1054
4,2015,4,994
5,2015,4,3367
6,2015,4,13964
7,2015,4,28590
7,2015,5,1
8,2015,4,50020
9,2015,4,41833
9,2015,5,1
10,2015,4,28861
11,2015,4,30153
11,2015,5,1
12,2015,4,35174
12,2015,5,1
13,2015,4,36834
13,2015,5,2
14,2015,4,39016
14,2015,5,2
15,2015,4,40221
16,2015,4,47678
16,2015,5,3
16,2015,6,1
17,2015,4,67891
17,2015,5,3
18,2015,4,64556
18,2015,5,4
19,2015,4,43413
19,2015,5,3
19,2015,6,1
20,2015,4,27017
20,2015,5,2
21,2015,4,18573
21,2015,5,4
22,2015,4,13919
22,2015,5,2
23,2015,4,9084
23,2015,5,56
0,2015,5,8892
0,2015,6,1
1,2015,5,5298
2,2015,5,2908
3,2015,5,1856
3,2015,6,1
4,2015,5,1640
4,2015,6,1
5,2015,5,4837
6,2015,5,19234
7,2015,5,39639
8,2015,5,68755
8,2015,6,2
9,2015,5,56773
9,2015,6,1
10,2015,5,43717
10,2015,6,2
11,2015,5,46700
11,2015,6,2
12,2015,5,54789
12,2015,6,1
13,2015,5,58645
13,2015,6,3
14,2015,5,60110
14,2015,6,2
15,2015,5,62090
15,2015,6,2
16,2015,5,71856
16,2015,6,1
17,2015,5,95274
17,2015,6,1
18,2015,5,89782
19,2015,5,64113
19,2015,6,2
20,2015,5,40186
21,2015,5,27919
22,2015,5,21720
22,2015,6,1
23,2015,5,15201
23,2015,6,29
0,2015,6,9370
1,2015,6,5082
2,2015,6,2920
3,2015,6,1818
4,2015,6,1593
5,2015,6,5344
6,2015,6,21360
7,2015,6,43398
8,2015,6,75807
9,2015,6,60499
10,2015,6,38932
10,2015,7,1
11,2015,6,41110
11,2015,7,2
12,2015,6,47168
13,2015,6,50948
13,2015,7,2
14,2015,6,52532
14,2015,7,1
15,2015,6,54781
16,2015,6,65318
16,2015,7,2
17,2015,6,92892
17,2015,7,2
18,2015,6,90112
18,2015,7,1
19,2015,6,64697
19,2015,7,3
20,2015,6,45837
20,2015,7,3
21,2015,6,30719
21,2015,7,3
22,2015,6,23036
22,2015,7,3
23,2015,6,15816
23,2015,7,107
0,2015,7,11723
1,2015,7,6419
2,2015,7,3753
3,2015,7,2351
3,2015,8,1
4,2015,7,2064
5,2015,7,6169
5,2015,8,1
6,2015,7,24080
7,2015,7,47487
8,2015,7,82417
9,2015,7,67035
10,2015,7,44827
11,2015,7,47161
12,2015,7,54513
13,2015,7,56220
13,2015,8,1
14,2015,7,57034
15,2015,7,62513
15,2015,8,1
16,2015,7,73736
16,2015,8,4
17,2015,7,106354
17,2015,8,2
18,2015,7,107168
18,2015,8,1
19,2015,7,79962
19,2015,8,1
20,2015,7,54987
20,2015,8,6
21,2015,7,37723
21,2015,8,3
22,2015,7,29715
22,2015,8,8
23,2015,7,20064
23,2015,8,172
0,2015,8,12317
1,2015,8,6976
1,2015,9,2
2,2015,8,4100
2,2015,9,1
3,2015,8,2557
4,2015,8,2211
5,2015,8,5578
6,2015,8,22724
7,2015,8,45783
7,2015,9,1
8,2015,8,83998
9,2015,8,71251
10,2015,8,51777
11,2015,8,56182
12,2015,8,64341
12,2015,9,1
13,2015,8,65153
13,2015,9,3
14,2015,8,66184
14,2015,9,5
15,2015,8,69704
15,2015,9,2
16,2015,8,81884
16,2015,9,1
17,2015,8,115332
17,2015,9,8
18,2015,8,115159
18,2015,9,4
19,2015,8,86152
19,2015,9,4
20,2015,8,57403
21,2015,8,40383
21,2015,9,5
22,2015,8,31025
22,2015,9,5
23,2015,8,20741
23,2015,9,87
0,2015,9,12575
1,2015,9,6645
2,2015,9,4155
3,2015,9,2502
4,2015,9,2209
5,2015,9,6210
6,2015,9,26113
7,2015,9,55753
8,2015,9,99178
9,2015,9,79449
9,2015,10,1
10,2015,9,57738
11,2015,9,61281
12,2015,9,70347
13,2015,9,73320
13,2015,10,1
14,2015,9,75736
14,2015,10,3
15,2015,9,79089
15,2015,10,3
16,2015,9,92904
16,2015,10,3
17,2015,9,128235
17,2015,10,6
18,2015,9,123176
18,2015,10,9
19,2015,9,85884
19,2015,10,13
20,2015,9,55626
20,2015,10,8
21,2015,9,40851
21,2015,10,8
22,2015,9,30044
22,2015,10,2
23,2015,9,20515
23,2015,10,107
0,2015,10,10967
0,2015,11,2
1,2015,10,6107
1,2015,11,1
2,2015,10,3540
3,2015,10,2068
4,2015,10,2064
5,2015,10,6369
6,2015,10,25549
7,2015,10,56823
7,2015,11,2
8,2015,10,105524
8,2015,11,2
9,2015,10,82564
9,2015,11,1
10,2015,10,54859
10,2015,11,5
11,2015,10,56830
11,2015,11,5
12,2015,10,66125
12,2015,11,5
13,2015,10,69150
