gender,year,month,count
0,2018,6,1
0,2018,7,1
1,2018,3,702442
1,2018,4,90
1,2018,5,1
2,2018,3,212652
2,2018,4,32
2,2018,6,1
2,2018,8,1
2,2018,9,1
0,2018,4,123499
0,2018,5,27
0,2018,6,3
1,2018,4,890121
1,2018,5,59
1,2018,6,3
1,2018,8,1
2,2018,4,293802
2,2018,5,24
2,2018,6,3
2,2018,7,1
0,2018,5,199524
0,2018,6,61
0,2018,7,1
0,2018,8,2
0,2018,9,2
1,2018,5,1203582
1,2018,6,225
1,2018,7,8
1,2018,8,1
2,2018,5,421243
2,2018,6,61
0,2018,6,201491
0,2018,7,153
0,2018,8,5
0,2018,9,2
1,2018,6,1281658
1,2018,7,242
1,2018,8,7
1,2018,9,1
2,2018,6,469434
2,2018,7,105
2,2018,8,4
2,2018,9,1
0,2018,7,210728
0,2018,8,71
0,2018,9,1
1,2018,7,1242381
1,2018,8,162
1,2018,9,3
2,2018,7,460229
2,2018,8,50
0,2018,8,205304
0,2018,9,76
1,2018,8,1296116
1,2018,9,196
2,2018,8,475418
2,2018,9,67
0,2018,9,173427
0,2018,10,60
1,2018,9,1240852
1,2018,10,112
2,2018,9,463395
2,2018,10,38
0,2018,10,125596
0,2018,11,46
1,2018,10,1304061
1,2018,11,169
2,2018,10,448733
2,2018,11,52
0,2018,11,67098
0,2018,12,20
1,2018,11,902720
1,2018,12,149
2,2018,11,290332
2,2018,12,36
0,2018,12,46189
0,2019,1,19
1,2018,12,746597
1,2019,1,25
2,2018,12,223662
2,2019,1,13
0,2019,1,34125
0,2019,2,4
1,2019,1,727093
1,2019,2,37
2,2019,1,206016
2,2019,2,12
0,2019,2,36758
0,2019,3,10
1,2019,2,703382
1,2019,3,82
2,2019,2,203497
2,2019,3,15
0,2019,3,71526
0,2019,4,51
1,2019,3,962480
1,2019,4,123
2,2019,3,293748
2,2019,4,32
0,2019,4,138225
0,2019,5,33
1,2019,4,1218411
1,2019,5,140
2,2019,4,409249
2,2019,5,36
0,2019,5,168025
0,2019,6,146
1,2019,5,1293426
1,2019,6,353
2,2019,5,462463
2,2019,6,150
