end_station_name,end_station_latitude,end_station_longitude,year,month,count
Atlantic Ave & Furman St,40.69165183,-73.9999786,2014,1,202
Avenue D & E 12 St,40.72580614,-73.97422494,2014,1,88
Avenue D & E 3 St,40.72082834,-73.97793172,2014,1,536
Avenue D & E 8 St,40.72368361,-73.97574813,2014,1,332
Bank St & Hudson St,40.73652889,-74.00618026,2014,1,960
Bank St & Washington St,40.7361967,-74.00859207,2014,1,691
Barclay St & Church St,40.71291224,-74.01020234,2014,1,1849
Barrow St & Hudson St,40.73172428,-74.00674436,2014,1,1528
Barrow St & Hudson St,40.73172428,-74.00674436,2014,2,2
Bayard St & Baxter St,40.71602118,-73.99974372,2014,1,947
Bedford Ave & S 9th St,40.70853074,-73.96408963,2014,1,55
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2014,1,552
Bond St & Schermerhorn St,40.68807003,-73.98410637,2014,1,366
Broad St & Bridge St,40.70365182,-74.01167797,2014,1,383
Broadway & Battery Pl,40.70463334,-74.01361706,2014,1,770
Broadway & Berry St,40.71044554,-73.96525063,2014,1,156
Broadway & E 14 St,40.73454567,-73.99074142,2014,1,2357
Broadway & E 14 St,40.73454567,-73.99074142,2014,2,2
Broadway & E 22 St,40.7403432,-73.98955109,2014,1,2521
Broadway & W 24 St,40.7423543,-73.98915076,2014,1,1935
Broadway & W 29 St,40.7462009,-73.98855723,2014,1,1207
Broadway & W 32 St,40.74854862,-73.98808416,2014,1,1599
Broadway & W 36 St,40.75097711,-73.98765428,2014,1,592
Broadway & W 37 St,40.75172632,-73.98753523,2014,1,304
Broadway & W 39 St,40.75299641,-73.98721619,2014,1,465
Broadway & W 41 St,40.75513557,-73.98658032,2014,1,911
Broadway & W 49 St,40.76064679,-73.98442659,2014,1,1078
Broadway & W 51 St,40.76228826,-73.98336183,2014,1,800
Broadway & W 53 St,40.76344058,-73.98268129,2014,1,602
Broadway & W 55 St,40.7652654,-73.98192338,2014,1,592
Broadway & W 58 St,40.76695317,-73.98169333,2014,1,1450
Broadway & W 60 St,40.76915505,-73.98191841,2014,1,1414
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2014,1,130
Canal St & Rutgers St,40.71427487,-73.98990025,2014,1,1232
Carlton Ave & Park Ave,40.69580705,-73.97355569,2014,1,61
Carmine St & 6 Ave,40.73038599,-74.00214988,2014,1,1699
Carmine St & 6 Ave,40.73038599,-74.00214988,2014,2,1
Catherine St & Monroe St,40.71117444,-73.99682619,2014,1,464
Central Park S & 6 Ave,40.76590936,-73.97634151,2014,1,459
Centre St & Chambers St,40.71273266,-74.0046073,2014,1,1127
Centre St & Worth St,40.71494807,-74.00234482,2014,1,515
Cherry St,40.71219906,-73.97948148,2014,1,362
Christopher St & Greenwich St,40.73291553,-74.00711384,2014,1,1672
Church St & Leonard St,40.71743998,-74.00583475,2014,1,676
Clark St & Henry St,40.69760127,-73.99344559,2014,1,436
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2014,1,197
Clermont Ave & Park Ave,40.69573398,-73.97129668,2014,1,156
Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,1,2006
Cliff St & Fulton St,40.70823502,-74.00530063,2014,1,986
Clinton Ave & Flushing Ave,40.69794,-73.96986848,2014,1,148
Clinton Ave & Myrtle Ave,40.693261,-73.968896,2014,1,610
Clinton St & Grand St,40.71559509,-73.9870295,2014,1,833
Clinton St & Joralemon St,40.69239502,-73.99337909,2014,1,268
Clinton St & Tillary St,40.696192,-73.991218,2014,1,156
Columbia Heights & Cranberry St,40.70037867,-73.99548059,2014,1,94
Columbia St & Rivington St,40.71739973,-73.98016555,2014,1,652
Concord St & Bridge St,40.69766564,-73.98476437,2014,1,148
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2014,1,333
DeKalb Ave & Hudson Ave,40.689888,-73.981013,2014,1,779
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2014,1,217
DeKalb Ave & Skillman St,40.6906495,-73.95643107,2014,1,165
DeKalb Ave & Skillman St,40.6906495,-73.95643107,2014,2,1
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2014,1,271
