user_type,year,month,count
Subscriber,2018,6,1694535
Subscriber,2018,7,249
Subscriber,2018,8,3
Subscriber,2018,9,1
Customer,2018,7,284775
Customer,2018,8,103
Customer,2018,9,1
Subscriber,2018,7,1628563
Subscriber,2018,8,180
Subscriber,2018,9,3
Customer,2018,8,273601
Customer,2018,9,120
Subscriber,2018,8,1703237
Subscriber,2018,9,219
Customer,2018,9,261069
Customer,2018,10,84
Subscriber,2018,9,1616605
Subscriber,2018,10,126
Customer,2018,10,192332
Customer,2018,11,69
Subscriber,2018,10,1686058
Subscriber,2018,11,198
Customer,2018,11,95508
Customer,2018,12,34
Subscriber,2018,11,1164642
Subscriber,2018,12,171
Customer,2018,12,61067
Customer,2019,1,30
Subscriber,2018,12,955381
Subscriber,2019,1,27
Customer,2019,1,40169
Customer,2019,2,4
Subscriber,2019,1,927065
Subscriber,2019,2,49
Customer,2019,2,46336
Customer,2019,3,15
Subscriber,2019,2,897301
Subscriber,2019,3,92
Customer,2019,3,106567
Customer,2019,4,91
Subscriber,2019,3,1221187
Subscriber,2019,4,115
Customer,2019,4,229374
Customer,2019,5,59
Subscriber,2019,4,1536511
Subscriber,2019,5,150
Customer,2019,5,294315
Customer,2019,6,251
Subscriber,2019,5,1629599
Subscriber,2019,6,398
